name,version,directory,repository,summary,from package.json,from license,from readme
@types/configstore,2.1.1,/home/di/liftedmobile/src/frontend/node_modules/@types/configstore,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/debug,0.0.29,/home/di/liftedmobile/src/frontend/node_modules/@types/debug,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/get-port,0.0.4,/home/di/liftedmobile/src/frontend/node_modules/@types/get-port,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/glob,5.0.30,/home/di/liftedmobile/src/frontend/node_modules/@types/glob,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/minimatch,2.0.29,/home/di/liftedmobile/src/frontend/node_modules/@types/minimatch,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/mkdirp,0.3.29,/home/di/liftedmobile/src/frontend/node_modules/@types/mkdirp,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/node,7.0.39,/home/di/liftedmobile/src/frontend/node_modules/@types/node,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,MIT,
@types/node,8.0.17,/home/di/liftedmobile/src/frontend/node_modules/@types/glob/node_modules/@types/node,(none),MIT,MIT,MIT,
@types/tmp,0.0.32,/home/di/liftedmobile/src/frontend/node_modules/@types/tmp,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@webpack-blocks/core,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/core,(none),MIT,MIT,,MIT
@webpack-blocks/css-modules,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/css-modules,(none),MIT,MIT,,MIT
@webpack-blocks/dev-server2,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/dev-server2,(none),MIT,MIT,,MIT
@webpack-blocks/extract-text2,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/extract-text2,(none),MIT,MIT,,MIT
@webpack-blocks/postcss,0.4.3,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/postcss,(none),MIT,MIT,,MIT
@webpack-blocks/webpack-common,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/webpack-common,(none),MIT,MIT,,MIT
@webpack-blocks/webpack2,0.4.0,/home/di/liftedmobile/src/frontend/node_modules/@webpack-blocks/webpack2,(none),MIT,MIT,,MIT
accepts,1.3.3,/home/di/liftedmobile/src/frontend/node_modules/accepts,(none),MIT,MIT,MIT,
acorn,3.3.0,/home/di/liftedmobile/src/frontend/node_modules/acorn-jsx/node_modules/acorn,(none),MIT,MIT,,
acorn,4.0.13,/home/di/liftedmobile/src/frontend/node_modules/acorn-dynamic-import/node_modules/acorn,(none),MIT,MIT,,
